127.0.0.1 - - [18/Sep/2021:01:37:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/ HTTP/1.1" 200 19446
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/barfiller.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/jquery.barfiller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/modernizr.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/js/photostack.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/img/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/img/Logo_D_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /semiProject/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:12 +0900] "POST /semiProject/topList HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:12 +0900] "GET /semiProject/resources/place_upFiles/2021-09-14-2235088.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:12 +0900] "GET /semiProject/resources/place_upFiles/2021-09-15-1557720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:12 +0900] "GET /semiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:13 +0900] "GET /semiProject/views/member/login.jsp HTTP/1.1" 200 19232
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:13 +0900] "GET /semiProject/resources/css/myInfo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:13 +0900] "GET /semiProject/resources/img/gyeongbokgung-palace.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:15 +0900] "POST /semiProject/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:15 +0900] "GET /semiProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:15 +0900] "GET /semiProject/ HTTP/1.1" 200 19497
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:15 +0900] "POST /semiProject/topList HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:17 +0900] "POST /semiProject/topList HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:17 +0900] "GET /semiProject/adminPage.ad HTTP/1.1" 200 13388
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:37:20 +0900] "GET /semiProject/insertForm.pl HTTP/1.1" 200 18403
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:38:01 +0900] "GET /semiProject/resources/js/bootstrap.min.js.map HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:38:01 +0900] "GET /semiProject/resources/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:38:58 +0900] "GET /semiProject/insertForm.pl HTTP/1.1" 200 18406
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:38:58 +0900] "GET /semiProject/resources/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:38:58 +0900] "GET /semiProject/resources/js/bootstrap.min.js.map HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:39:33 +0900] "GET /semiProject/list.pm HTTP/1.1" 200 40480
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:39:33 +0900] "GET /semiProject/resources/css/bootstrap.min.css.map HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:39:34 +0900] "GET /semiProject/resources/img/listing/restaurant.png HTTP/1.1" 200 27522
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:39:34 +0900] "GET /semiProject/resources/img/listing/coffee-pot.png HTTP/1.1" 200 16857
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:39:34 +0900] "GET /semiProject/resources/img/listing/shoes.png HTTP/1.1" 200 20633
0:0:0:0:0:0:0:1 - - [18/Sep/2021:01:39:34 +0900] "GET /semiProject/resources/place_upFiles/2021-09-17-2187211.pdf HTTP/1.1" 404 877
